롯데월드 어드벤처매직아일랜드아트란티스,놀이기구,서울 송파구 송파나루길 15,볼거리가 많아요,놀이기구가 다양해요,먹거리가 풍부해요,아이와 가기 좋아요,사진이 잘 나와요
문정근린공원,근린공원,서울 송파구 문정동 18-4,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,붐비지 않아요,편의시설이 잘 되어있어요
풍납근린공원,근린공원,서울 송파구 풍납동 74,산책로가 잘 되어있어요,뷰가 좋아요,주차하기 편해요,관리가 잘 되어있어요,가격이 합리적이에요
송파근린공원,근린공원,서울 송파구 송파대로42길 29,주차하기 편해요,관리가 잘 되어있어요,가격이 합리적이에요,산책로가 잘 되어있어요,뷰가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
잠실근린공원,근린공원,서울 송파구 백제고분로15길 7 잠전경로당,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,가격이 합리적이에요,볼거리가 많아요
마천공원,근린공원,서울 송파구 성내천로23길 12,가격이 합리적이에요,뷰가 좋아요,먹거리가 풍부해요,관리가 잘 되어있어요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
풍납백제문화공원,근린공원,서울 송파구 풍납동 199-4,뷰가 좋아요,산책로가 잘 되어있어요,볼거리가 많아요,사진이 잘 나와요,방문객이 많아요
롯데월드키즈토리아,놀이기구,서울 송파구 올림픽로 240 롯데월드,볼거리가 많아요,아이와 가기 좋아요,먹거리가 풍부해요,가격이 합리적이에요,놀이기구가 다양해요
-,-,-,-,-,-,-,-
비석거리공원,"도시,테마공원",서울 송파구 가락동 96-15,편의시설이 잘 되어있어요,먹거리가 풍부해요,관리가 잘 되어있어요,산책로가 잘 되어있어요,뷰가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
몽촌토성,성곽명,서울 송파구 올림픽로 424 올림픽공원,사진이 잘 나와요,붐비지 않아요,산책로가 잘 되어있어요,볼거리가 많아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
올림픽공원조각공원,테마공원,서울 송파구 위례성대로 51,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
서울석촌동고분군,국가유산,서울 송파구 석촌동,산책로가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요,뷰가 좋아요,아이와 가기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
설빙 석촌호수동호점,빙수,서울 송파구 석촌호수로 278 여흥레이크빌,디저트가 맛있어요,특별한 메뉴가 있어요,대화하기 좋아요,커피가 맛있어요,음료가 맛있어요
롯데월드타워 월드파크,지역명소,서울 송파구 올림픽로 300,볼거리가 많아요,방문객이 많아요,뷰가 좋아요,사진이 잘 나와요,먹거리가 풍부해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
풍납토성,성곽명,서울 송파구 풍납동 73-1,산책로가 잘 되어있어요,사진이 잘 나와요,뷰가 좋아요,설명이 잘 되어있어요,반려동물과 가기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
웰하우스,"카페,디저트",서울 송파구 오금로16길 10 2층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
킴스델리마켓 롯데백화점 잠실점,베이커리,서울 송파구 올림픽로 240 지하1층,빵이 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요
끄네들로,"카페,디저트",서울 송파구 오금로 95 국제빌딩 끄네들로,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,커피가 맛있어요
오쿠쿠베이커리,베이커리,서울 송파구 백제고분로 459 오쿠쿠 베이커리,빵이 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
-,-,-,-,-,-,-,-
현대아울렛 가든파이브점,아울렛,서울 송파구 충민로 66 현대아울렛 가든파이브점,친절해요,주차하기 편해요,종류가 다양해요,가성비가 좋아요,시설이 깔끔해요
테힐라한복 송파점,한복대여,서울 송파구 백제고분로 354 금진빌딩 2층,옷이 예뻐요,옷이 다양해요,친절해요,상담이 자세해요,스타일 추천을 잘해줘요
키친205 롯데월드몰점,"카페,디저트",서울 송파구 올림픽로 300 롯데월드몰 지하1층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,주차하기 편해요
롯데백화점 잠실점,백화점,서울 송파구 올림픽로 240 롯데백화점 잠실점,친절해요,종류가 다양해요,품질이 좋아요,가성비가 좋아요,매장이 넓어요
우무드,"카페,디저트",서울 송파구 오금로 126 1층 113호 우무드,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,매장이 청결해요,친절해요
로스트앤베이크 가락점,"카페,디저트",서울 송파구 중대로 121 1층,빵이 맛있어요,음식이 맛있어요,매장이 넓어요,매장이 청결해요,커피가 맛있어요
르빵 송파점,베이커리,서울 송파구 백제고분로41길 12 향나무빌딩,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,디저트가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
가락농수산물종합도매시장,시장,서울 송파구 양재대로 932 가락동 농수산물도매시장,친절해요,주차하기 편해요,볼거리가 많아요,특색 있는 제품이 많아요,종류가 다양해요
-,-,-,-,-,-,-,-
서울책보고,서점,서울 송파구 오금로 1 서울책보고,책 종류가 다양해요,시설이 깔끔해요,독특한 책이 많아요,책 읽기 쾌적해요,카페 같은 분위기에요
-,-,-,-,-,-,-,-
백호라떼,"카페,디저트",서울 송파구 송파대로42길 26 1층,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,대화하기 좋아요
런던베이글뮤지엄 잠실점,베이커리,서울 송파구 올림픽로 300 롯데월드몰 1층,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요
롯데백화점 에비뉴엘 잠실점,백화점,서울 송파구 올림픽로 300 롯데백화점에비뉴엘월드타워점,친절해요,품질이 좋아요,종류가 다양해요,비싼 만큼 가치있어요,시설이 깔끔해요
뷰클런즈,"카페,디저트",서울 송파구 백제고분로43길 10 1층,인테리어가 멋져요,커피가 맛있어요,친절해요,음료가 맛있어요,집중하기 좋아요
위커파크 이스트,"카페,디저트",서울 송파구 석촌호수로 298 잠실대우레이크월드,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
젠젠 잠실점,"카페,디저트",서울 송파구 백제고분로45길 34 동방빌딩 2F,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
NC백화점 송파점,백화점,서울 송파구 충민로 66 가든파이브라이프,가성비가 좋아요,종류가 다양해요,주차하기 편해요,친절해요,품질이 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
SOS커피 브런치 석촌역점,카페,서울 송파구 백제고분로40길 4-7 1층,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
-,-,-,-,-,-,-,-
아쿠아가든카페 롯데월드몰점,"카페,디저트",서울 송파구 올림픽로 300 롯데월드몰 지하1층,인테리어가 멋져요,사진이 잘 나와요,뷰가 좋아요,커피가 맛있어요,비싼 만큼 가치있어요
매트블랙커피 롯데월드몰점,"카페,디저트",서울 송파구 올림픽로 300 롯데월드타워 4층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,사진이 잘 나와요
니커버커베이글 본점,"카페,디저트",서울 송파구 석촌호수로 268 1층 109~112호,특별한 메뉴가 있어요,빵이 맛있어요,디저트가 맛있어요,친절해요,커피가 맛있어요
르브리에,"카페,디저트",서울 송파구 백제고분로43길 8 1층,음식이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,특별한 메뉴가 있어요
파리크라상 올림픽공원점,베이커리,서울 송파구 올림픽로 424 올림픽공원 만남의 광장 편익C동 1층,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요
봉땅,베이커리,서울 송파구 백제고분로41길 42-8 1층 봉땅,빵이 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
진저베어,"카페,디저트",서울 송파구 백제고분로41길 43-7 1층,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요
크림베이글 위례점,베이커리,서울 송파구 위례광장로 230 위례2차아이파크상가 2동 1층 B-121호,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
하츠베이커리,베이커리,서울 송파구 중대로 210 하츠베이커리,빵이 맛있어요,커피가 맛있어요,주차하기 편해요,매장이 청결해요,대화하기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
김영모과자점 잠실에비뉴엘점,베이커리,서울 송파구 올림픽로 300 롯데백화점 에비뉴엘 월드타워점 5층,빵이 맛있어요,뷰가 좋아요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
광양수산,시장,서울 송파구 양재대로 932 수산물시장동 1층 수산54호 광양수산,친절해요,주차하기 편해요,먹거리가 풍부해요,시설이 깔끔해요,볼거리가 많아요
르봉마리아쥬,케이크전문,서울 송파구 올림픽로 417 1층 르봉마리아쥬,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
-,-,-,-,-,-,-,-
카페 앙떼띠,"카페,디저트","서울 송파구 올림픽로 342 아울타워 1,2층",커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요,친절해요
리프커피바,"카페,디저트",서울 송파구 백제고분로43길 24 1층 리프커피바,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
플라워아티장베이커리 문정,베이커리,서울 송파구 법원로 114 엠스테이트 지하 1층 B134호,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
밸런티 본점,"카페,디저트",서울 송파구 가락로11길 19 1층 밸런티 본점,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
오린지,"카페,디저트",서울 송파구 송파대로48길 19 1층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
쏘스윗 잠실,"카페,디저트",서울 송파구 송파대로42길 46 1층 쏘스윗 잠실,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,인테리어가 멋져요
오베베베이커리,베이커리,서울 송파구 송파대로46길 20 지하2층~지상2층,빵이 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요
카페 마나랑,"카페,디저트","서울 송파구 송파대로49길 37 1층, 2층",커피가 맛있어요,집중하기 좋아요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요
트레스드,"카페,디저트",서울 송파구 백제고분로15길 50 1층,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요
맨들러,"카페,디저트",서울 송파구 백제고분로 208 맨들러,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,인테리어가 멋져요
쥬뗑뷔뜨,베이커리,서울 송파구 백제고분로40길 16 서광빌딩 1층 코너 붉은색 테두리 나무문,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
서커스래빗,케이크전문,서울 송파구 올림픽로35길 112 장미종합 B상가 지하1층 B2- 10호,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,선물하기 좋아요,사진이 잘 나와요
꼬앙드파리 올림픽공원 본점,"카페,디저트",서울 송파구 마천로7길 18 1층,인테리어가 멋져요,사진이 잘 나와요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요
코히루,"카페,디저트",서울 송파구 오금로 148 2층,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,대화하기 좋아요
미크,"카페,디저트",서울 송파구 송파대로 458 1층 104호,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
카페 페퍼,"카페,디저트",서울 송파구 백제고분로45길 12 2층 카페페퍼,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,음료가 맛있어요
밀파니,베이커리,"서울 송파구 위례서로 273 밀파니 타워 1층, 2층",빵이 맛있어요,커피가 맛있어요,친절해요,대화하기 좋아요,매장이 청결해요
-,-,-,-,-,-,-,-
새마을전통시장,시장,서울 송파구 석촌호수로12길 24,친절해요,볼거리가 많아요,먹거리가 풍부해요,시설이 깔끔해요,품질이 좋아요
앤티크커피 잠실점,"카페,디저트",서울 송파구 백제고분로41길 21-16 1층 앤티크커피 잠실점,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요
프로퍼커피바2호점,"카페,디저트",서울 송파구 오금로31가길 20 1층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
마천중앙시장,시장,서울 송파구 마천로45길 23,친절해요,주차하기 편해요,볼거리가 많아요,먹거리가 풍부해요,트렌디해요
디저티스트,"카페,디저트",서울 송파구 송파대로48길 37 호수임광아파트 상가동 2층,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
베질루르선셋에비뉴 롯데월드몰점,"카페,디저트",서울 송파구 올림픽로 300 롯데월드몰 5층,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
필앳홈,양식,서울 송파구 백제고분로41길 6-5 1층,인테리어가 멋져요,디저트가 맛있어요,음식이 맛있어요,매장이 넓어요,대화하기 좋아요
씨엘트리,"카페,디저트",서울 송파구 백제고분로45길 17-3 4층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,뷰가 좋아요
멜티도나,"카페,디저트",서울 송파구 백제고분로9길 41-1 2층 멜티도나,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요
백워리,"카페,디저트",서울 송파구 백제고분로45길 4-14 1F Back worry,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요
카페드로잉 송파점,카페,서울 송파구 송파대로 111 202동1층 166호 카페드로잉 송파점,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,대화하기 좋아요,음료가 맛있어요
